Time (s),Green Avg (rPPG Proxy)
0.000,129.1
0.033,127.47638888888889
0.067,124.73063063063063
0.100,123.79866666666666
0.133,122.63290043290043
0.167,125.17272727272727
0.200,126.58484848484848
0.233,121.13168724279835
0.267,119.43534136546185
0.300,128.0456790123457
0.333,124.6714859437751
0.367,128.49135802469135
0.400,125.9859437751004
0.433,126.08452380952382
0.467,125.83895582329318
0.500,127.3987012987013
0.533,126.95087719298246
0.567,127.8438596491228
0.600,130.81866666666667
0.633,129.6283783783784
0.667,132.18356164383562
0.700,130.3842105263158
0.733,131.90833333333333
0.767,132.42510822510823
0.800,129.85707762557078
0.833,127.48063063063063
0.867,129.7420091324201
0.900,129.72511415525113
0.933,130.87294685990338
0.967,128.57652582159625
1.000,126.33194444444445
1.033,128.56197183098593
1.067,127.1986301369863
1.100,128.53009259259258
1.133,130.30855855855856
1.167,131.69414414414413
1.200,128.62342342342342
1.233,129.5509009009009
1.267,128.92477477477476
1.300,130.6751111111111
1.333,130.06807511737088
1.367,129.92314814814816
1.400,128.00648148148147
1.433,130.02582159624413
1.467,126.14864864864865
1.500,127.5125
1.533,127.96481481481482
1.567,126.88779342723005
1.600,127.25936073059361
1.633,129.86763285024153
1.667,129.44333333333333
1.700,127.56844444444444
1.733,127.56844444444444
1.767,127.82037037037037
1.800,127.57534246575342
1.833,127.94383561643835
1.867,127.84189189189189
1.900,127.89144144144144
1.933,127.91711711711712
1.967,127.83693693693694
2.000,127.43603603603604
2.033,127.6018018018018
2.067,128.5795238095238
2.100,128.4661971830986
2.133,128.256338028169
2.167,128.70095238095237
2.200,127.57238095238095
2.233,127.41545893719807
2.267,127.34927536231883
2.300,126.96238095238095
2.333,125.28264840182648
2.367,123.47579908675799
2.400,127.74541062801933
2.433,125.65619047619047
2.467,125.7
2.500,126.66047619047619
2.533,126.01380952380953
2.567,124.17246376811595
2.600,125.09178743961353
2.633,125.8652380952381
2.667,126.52238095238096
2.700,126.18792270531401
2.733,124.67857142857143
2.767,124.07793427230047
2.800,124.07793427230047
2.833,122.44666666666667
2.867,124.57246376811594
2.900,125.75748792270531
2.933,124.9536231884058
2.967,123.70694444444445
3.000,123.45238095238095
3.033,123.30144927536232
3.067,121.62916666666666
3.100,121.48611111111111
3.133,121.21898148148148
3.167,121.36948356807511
3.200,120.53287037037038
3.233,119.81971830985916
3.267,119.89107981220657
3.300,121.7195238095238
3.333,120.26118721461187
3.367,119.58108108108108
3.400,120.53657407407407
3.433,119.78403755868544
3.467,118.45022831050228
3.500,118.68009259259259
3.533,119.47428571428571
3.567,119.92657004830917
3.600,119.77536231884058
3.633,119.39774774774774
3.667,118.55352112676056
3.700,117.33842592592593
3.733,116.25433789954337
3.767,113.60225225225226
3.800,106.47850877192982
3.833,108.79774774774775
3.867,108.6382882882883
3.900,108.84414414414414
3.933,108.496
3.967,109.59497716894977
4.000,108.98266666666666
4.033,110.51377777777778
4.067,109.66888888888889
4.100,110.34931506849315
4.133,108.02252252252252
